_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
90125,NONE,,YES,YES,YES,YES,NO,Not Available,3.0,45.0,,,,,,,YES,YES,Recycling bins,YES,NO,,REPLACED,2005.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,ON EACH FLOOR ,YES,0.0,0.0,0.0,6.0,NO,YES,Surface Parking,M9W,,NO,,PRIVATE,PARKING LOT,4155426.0,NO,YES,NO,15  JANSUSIE RD ,YES,YES,1967.0,,FREE,1,DOUBLE PANE,1967.0,,2017.0,,,,,,,,
90126,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,50.0,"MAY 1, 2017",,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,REPLACED,2005.0,HOT WATER,NO,YES,NO,YES,YES,8:00 A.M. TO 11:00 P.M.,MAIN FLOOR,YES,0.0,2.0,1.0,8.0,NO,YES,Surface Parking,M1G,,YES,R A B PROPERTIES LIMITED,PRIVATE,EXTERIOR,4156174.0,NO,YES,NO,1  MEADOWGLEN PL ,NO,,,YES,FREE,24,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90127,NONE,,YES,YES,YES,YES,YES,Not Available,21.0,236.0,"MAY 15, 2017",,,,EVERYTHING,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE BACK OF BUILDING,ORIGINAL,1965.0,HOT WATER,YES,YES,NO,YES,YES,7 AM TO 11 PM,GROUND FLOOR,YES,239.0,2.0,3.0,20.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",M1J,NO RESTRICTIONS,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,OUTSIDE BACK OF BUILDING,4152799.0,NO,NO,NO,25  COUGAR CRT ,YES,YES,1968.0,YES,FREE,24,SINGLE PANE,1965.0,2000.0,2017.0,,,,,,,,
90128,NONE,,YES,NO,YES,YES,NO,Not Available,5.0,39.0,,,,,,,,NO,Unknown,YES,NO,,ORIGINAL,1980.0,HOT WATER,NO,YES,NO,NO,YES,9:00 A.M. TO 8:00 P.M.,BASEMENT,NO,0.0,45.0,1.0,4.0,YES,YES,"Carport , Surface Parking",M3M,GUIDE DOGS,NO,,PRIVATE,,4154404.0,NO,YES,NO,2233  JANE ST ,NO,,,,FREE,6,THERMAL,1965.0,,2017.0,,,,,,,,
90129,,,,,,,YES,Not Available,11.0,118.0,,,,,,,,,Green Bin / Organics,,YES,OUTSIDE,,,,YES,,,,YES,8-9,BASEMENT,YES,117.0,2.0,2.0,14.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3M,IF SERVICE ANIMALS. ,NO,,PRIVATE,OUTSIDE,4154409.0,,,,5  AGATE RD ,,,,,FREE,6,DOUBLE PANE,1967.0,,2018.0,,,,,,,,
90130,NONE,,YES,NO,NO,NO,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2012.0,HOT WATER,NO,YES,NO,NO,YES,9 AM - 9 PM,FIRST FLLOOR,NO,0.0,12.0,0.0,4.0,YES,YES,Ground Level Garage,M3M,,NO,THISTLE C.N.C LTD.,PRIVATE,OUTSIDE,4154413.0,NO,YES,NO,1  WANDLE AVE ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1954.0,,2017.0,,,,,,,,
90131,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE WITH GARBAGE BINS,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 10 PM,BASEMENT,NO,0.0,12.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M3M,,YES,MARSHA SWITZER,PRIVATE,OUTSIDE SOUTH SIDE OF BUILDING,4154416.0,NO,YES,NO,2816  KEELE ST ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
90132,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,11.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,OUTSIDE BUILDING,REPLACED,2005.0,FORCED AIR GAS,NO,NO,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,5.0,0.0,3.0,NO,YES,"Ground Level Garage , Surface Parking",M3M,,YES,,PRIVATE,OUTSIDE BUILDING,4154425.0,NO,YES,NO,2852  KEELE ST ,NO,,,,UNAVAILABLE,6,SINGLE PANE,1945.0,,2017.0,,,,,,,,
90133,INDIVIDUAL UNITS,,YES,YES,YES,YES,NO,12 indoor parking spots and 12 outdoor parking spots,3.0,11.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2008.0,HOT WATER,NO,YES,NO,NO,YES,8TO9,BASEMENT,NO,0.0,12.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M6A,,NO,CRISTINA DOLENZ,PRIVATE,OUTSIDE,4154546.0,NO,YES,NO,37  WASDALE CRES ,NO,,,,FREE,8,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90134,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,36.0,,,,,,,YES,NO,Recycling bins,YES,YES,,REPLACED,2015.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT LEVEL,YES,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M6A,,NO,WESTDALE PROPERTIES,PRIVATE,EXTERIOR OF BUILDING,4154556.0,NO,YES,NO,44  SARANAC BLVD ,NO,,,,PAID,8,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90135,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,110.0,"JUN 15, 2017",,,,,ORIGINAL,NO,NO,Green Bin / Organics,YES,NO,OUTDOORS,ORIGINAL,1960.0,HOT WATER,NO,YES,YES,YES,YES,7AM - 11PM,MAIN FLOOR,NO,0.0,0.0,2.0,10.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6E,,YES,MEDALLION CORPORATION,PRIVATE,OUTDOORS,4155044.0,NO,YES,YES,110  MARLEE AVE ,YES,YES,1960.0,NO,FREE,8,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90136,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,18.0,190.0,"AUG 16, 2017",,,,,REPLACED,YES,NO,Unknown,YES,YES,,ORIGINAL,1970.0,HOT WATER,YES,YES,NO,YES,YES,8:00AM TO 8:00PM,TBD,NO,1.0,6.0,3.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1K,,YES,,TCHC,,4155574.0,NO,NO,NO,31  GILDER DR ,YES,YES,1970.0,YES,BOTH,21,DOUBLE PANE,1970.0,1997.0,2017.0,,,,,,,,
90137,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,13.0,198.0,"DEC 31, 2014",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,FRONT OF BUILDING,ORIGINAL,1971.0,HOT WATER,NO,YES,NO,YES,YES,8:00AM TO 8:00PM,TBD,YES,1.0,4.0,2.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1E,,YES,DEL MANAGEMENT,TCHC,FRONT OF BUILDING,4155581.0,NO,NO,NO,90  MORNELLE CRT ,YES,YES,1971.0,NO,BOTH,24,SINGLE PANE,1971.0,,2017.0,,,,,,,,
90138,NONE,"Indoor pool , Indoor recreation room , Indoor exercise room",YES,YES,YES,YES,YES,40 indoor parking spots and 18 outdoor parking spots,16.0,186.0,"DEC 15, 2016",,,,FULL MODERNIZATION,REPLACED,,NO,Green Bin / Organics,YES,YES,INDOOR,REPLACED,2005.0,HOT WATER,YES,YES,YES,NO,YES,24HRS,BASEMENT,YES,0.0,3.0,2.0,20.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M4S,,YES,VERTICA RESIDENT SERVICES,PRIVATE,INDOOR,4156549.0,NO,YES,NO,88  REDPATH AVE ,YES,YES,1965.0,YES,PAID,12,DOUBLE PANE,1965.0,2007.0,2017.0,,,,,,,,
90139,NONE,Indoor recreation room,YES,YES,YES,NO,YES,Not Available,3.0,20.0,,,,,,,YES,NO,Unknown,YES,NO,,ORIGINAL,1969.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,2.0,6.0,0.0,12.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1G,,YES,DEL MANAGEMENT,TCHC,,4156555.0,NO,NO,NO,3945  LAWRENCE AVE E,YES,YES,1969.0,,BOTH,24,SINGLE PANE,1970.0,,2017.0,,,,,,,,
90140,NONE,,YES,YES,YES,YES,YES,0 indoor parking spots and 14 outdoor parking spots,22.0,219.0,"JUL 15, 2017",,,,INTERIOR AND CONTROLS,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2005.0,HOT WATER,NO,YES,NO,YES,YES,8AM - 10PM,BASEMENT,YES,219.0,15.0,3.0,22.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3A,,YES,,PRIVATE,BACK OF BUILDING,4156579.0,NO,YES,NO,1202  YORK MILLS RD ,YES,YES,1967.0,YES,FREE,16,DOUBLE PANE,1967.0,2009.0,2017.0,,,,,,,,
90141,NONE,,YES,YES,YES,YES,NO,Not Available,5.0,44.0,"SEP 30, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,REAR DRIVEWAY,REPLACED,2015.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,BASEMENT,YES,0.0,0.0,1.0,6.0,NO,YES,"Underground Garage , Ground Level Garage , Surface Parking",M4P,,YES,,PRIVATE,REAR DRIVEWAY,4153812.0,NO,YES,NO,420  EGLINTON AVE E,YES,YES,1995.0,YES,UNAVAILABLE,15,DOUBLE PANE,1963.0,,2017.0,,,,,,,,
90142,NONE,Outdoor rec facilities,YES,YES,YES,YES,YES,Not Available,6.0,65.0,"MAR 25, 2014",,,GARDEN PATIO,,REPLACED,,NO,Green Bin / Organics,YES,NO,EAST PARKING LOT,REPLACED,1997.0,HOT WATER,YES,YES,NO,NO,YES,24/7,BASEMENT,YES,65.0,5.0,1.0,8.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4P,,YES,,PRIVATE,EAST PARKING LOT,4153813.0,NO,YES,NO,412  EGLINTON AVE E,YES,YES,1975.0,YES,FREE,15,DOUBLE PANE,1957.0,2011.0,2017.0,,,,,,,,
90143,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,4.0,52.0,"APR 12, 2016",,,,,REPLACED,YES,NO,Recycling bins,YES,NO,,ORIGINAL,1954.0,HOT WATER,NO,YES,NO,YES,YES,TBD,TBD,NO,1.0,6.0,1.0,12.0,YES,YES,Surface Parking,M4P,,YES,,TCHC,REAR OF BUILDING,4153819.0,NO,NO,NO,133  BROADWAY AVE ,YES,YES,1954.0,YES,BOTH,12,DOUBLE PANE,1954.0,2003.0,2017.0,,,,,,,,
90144,INDIVIDUAL UNITS,"Outdoor rec facilities , Indoor exercise room",YES,YES,YES,YES,YES,30 indoor parking spots and 0 outdoor parking spots,10.0,205.0,"JAN 25, 2017",,GYM,BBQ/PATIO AREA,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2011.0,HOT WATER,NO,YES,YES,YES,YES,24HRS,GROUND FLOOR,YES,0.0,1.0,2.0,19.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M4P,LEASHED,YES,,PRIVATE,OUTSIDE,4153825.0,NO,YES,NO,75  BROADWAY AVE ,YES,YES,2011.0,YES,FREE,12,DOUBLE PANE,1963.0,,2017.0,,,,,,,,
90145,NONE,Sauna,YES,YES,YES,YES,NO,20 indoor parking spots and 0 outdoor parking spots,16.0,65.0,"DEC 15, 2015",,,,,REPLACED,,NO,Green Bin / Organics,YES,YES,,REPLACED,2005.0,HOT WATER,YES,YES,NO,NO,YES,24 HOURS/DAY,LEVEL P1,YES,0.0,0.0,2.0,8.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4P,,YES,,PRIVATE,LAUNDRY ROOM,4153828.0,NO,NO,NO,15  ERSKINE AVE ,YES,YES,1970.0,YES,FREE,15,DOUBLE PANE,1970.0,2015.0,2017.0,,,,,,,,
90146,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,26.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,WEST SIDE OF BUILDING,ORIGINAL,1954.0,HOT WATER,NO,YES,NO,YES,YES,24/7,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M6A,AS PER LEASING AGREEMENT,YES,,PRIVATE,WEST SIDE OF BUILDING,4154562.0,NO,YES,NO,10  SARANAC BLVD ,NO,,,,UNAVAILABLE,8,SINGLE PANE,1954.0,,2017.0,,,,,,,,
90147,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,26.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2005.0,HOT WATER,NO,YES,NO,NO,YES,10;00 AM TO 10;00 PM,FIRST FLOOR,NO,0.0,0.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M6A,NO PETS ALLOWED,NO,626114/5 ONTARIO LTD,PRIVATE,BACK OF BUILDING,4154563.0,NO,YES,NO,6  SARANAC BLVD ,NO,,,,UNAVAILABLE,8,SINGLE PANE,1953.0,,2017.0,,,,,,,,
90148,NONE,Indoor recreation room,YES,YES,YES,NO,YES,Not Available,5.0,132.0,"DEC 31, 2014",,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1994.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,1.0,6.0,2.0,20.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3H,,YES,,TCHC,REAR OF BUILDING,4154567.0,NO,NO,NO,495  WILSON AVE ,YES,YES,1994.0,NO,BOTH,6,DOUBLE PANE,1995.0,,2017.0,,,,,,,,
90149,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 5 outdoor parking spots,3.0,10.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE STORAGE AREA,REPLACED,2011.0,HOT WATER,NO,YES,NO,NO,YES,6 A.M. TO 6 P.M.,FIRST FLOOR,NO,0.0,0.0,0.0,4.0,YES,NO,"Ground Level Garage , Surface Parking",M3H,,YES,,PRIVATE,OUTSIDE STORAGE AREA,4154568.0,NO,YES,NO,417  WILSON AVE ,NO,,,,FREE,6,SINGLE PANE,1958.0,,2017.0,,,,,,,,
90150,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,11.0,,,,,,,,NO,Green Bin / Organics,YES,NO,BESIDE THE BUILDING,ORIGINAL,1955.0,HOT WATER,NO,NO,NO,NO,YES,8-10,BASEMENT,YES,0.0,11.0,0.0,2.0,NO,YES,Surface Parking,M3H,,YES,RAM-LAND PROPERTY MANAGEMENT,PRIVATE,BESIDE THE BUILDING,4154583.0,NO,YES,NO,9  ROSSEAU RD ,NO,,,,FREE,6,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
90151,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,24.0,,,,,,,,NO,Green Bin / Organics,YES,NO,REAR OF BUILDING,REPLACED,2010.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT LEVEL,NO,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M6E,,NO,GULMOUR PROPERTY MANAGEMENT,PRIVATE,REAR OF BUILDING,4155074.0,NO,NO,NO,531  CALEDONIA RD ,NO,,,,UNAVAILABLE,9,DOUBLE PANE,1968.0,,2017.0,,,,,,,,
90152,NONE,,YES,NO,YES,NO,NO,5 indoor parking spots and 0 outdoor parking spots,4.0,37.0,,,,,,,NO,NO,Recycling bins,YES,NO,,REPLACED,2005.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,LOBBY,YES,0.0,0.0,0.0,6.0,YES,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M6E,,YES,,PRIVATE,BEHIND THE BUILDING,4155078.0,NO,YES,NO,2040  EGLINTON AVE W,NO,NO,,,UNAVAILABLE,8,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
